scorer,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne
bodyparts,Head,Head,Sideleft,Sideleft,Sideright,Sideright,Spine1,Spine1,Tailbase,Tailbase,Tailmiddle,Tailmiddle,Tailend,Tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\rat2downsampled\img0121.png,,,,,,,,,35.48834299641453,251.31926711023192,41.34157221557612,224.24125677197281,45.13569262548836,201.37773304125983
labeled-data\rat2downsampled\img0130.png,,,46.95284696386719,243.15685299816954,56.469975362304694,244.18573693969768,60.51886498828131,225.48541869787633,55.588959599243196,197.30532502026378,50.11818081556754,182.8890361170418,46.430890961787895,168.57235457444304
labeled-data\rat2downsampled\img0144.png,74.21895032483076,214.2628692450215,69.90740486027511,204.14191452973347,81.31284626361334,208.23093866954383,80.0925477523199,187.4759445619421,,,,,,
labeled-data\rat2downsampled\img0266.png,30.58523941040039,82.03327080583699,21.258645861076275,92.72318388404192,30.177971273603816,97.03026673685004,18.470824511108304,109.62608340307622,15.100806256792453,121.97615576692482,9.203034393524774,150.18207646118188,18.958295213774292,164.60805632088034
labeled-data\rat2downsampled\img0376.png,27.789470444615517,46.03957199007685,20.47791450989959,54.831996661928216,32.28645142313522,56.2085984427451,25.248233458740344,66.37676135027097,31.606821279832474,84.2726537437547,38.513442345333004,103.39675192374146,40.202060571564715,119.10233578807015
labeled-data\rat2downsampled\img0546.png,,,182.32404291033427,62.83237876307368,183.38830301028736,71.61862023860529,174.40251214868283,69.54500116918862,,,139.68329954551828,74.24439316686997,118.32742798555516,77.82359905998783
labeled-data\rat2downsampled\img0872.png,18.797473217300023,25.955762242915682,19.81272681132387,43.172013728280874,31.10728480708707,41.46483412480953,31.602846364830413,61.16889255029085,37.21112897628211,79.3413090576162,38.448252969899215,95.47529255189448,38.612307616135126,110.84536731972536
labeled-data\rat2downsampled\img0970.png,26.669561576413415,39.70348834776526,25.470208465861276,45.42187137886286,11.80361032541255,45.412335866755214,19.337857417360397,44.41500706012543,29.28002966029075,56.51081020050651,45.094575298147305,72.04481549892445,59.37453727120371,93.14504432248366
labeled-data\rat2downsampled\img1721.png,170.95818255688675,89.75898679189369,164.79949673903633,100.97082986115247,175.49378247721995,102.33797868335408,170.7650117934582,115.70399371765095,168.88635907595034,132.22396291545047,163.49374541378347,160.72181315349263,161.19512367368466,174.22340822432093
labeled-data\rat2downsampled\img1726.png,170.53727215304866,86.65030652132322,167.08031101509414,98.04123310241614,175.78043792272433,98.54345899810664,172.6976968055793,115.34457833780016,168.38044544728666,125.11640051099755,165.23338080558932,151.86237955395566,162.08465718876798,176.25804260400471
labeled-data\rat2downsampled\img1752.png,174.46556855700686,52.534532765380874,162.88811150769033,66.0437711467286,173.7857157583008,68.05086818713389,165.76612782444874,86.47830392149483,166.02727518567053,97.54512520446752,166.2502856800537,118.62889781970225,167.14467077049414,133.9369474799809
labeled-data\rat2downsampled\img1814.png,,,164.21751115405382,51.65431006713786,176.22126232629518,60.0567200208734,171.12876182898057,57.282900119506024,162.07144030393033,71.03926203110134,151.76272808431685,86.81890169353412,136.6601780243438,101.70474670694854
labeled-data\rat2downsampled\img1860.png,175.62482556197634,80.53828131124422,175.72508449501044,64.79250753645717,,,180.48702718630778,52.67936760301222,163.46443458018646,48.446751573485585,141.4974201111616,48.4540827224117,129.62297716264462,59.750525438476245
labeled-data\rat2downsampled\img1916.png,151.42156982421875,79.70705366126435,168.9751087267866,81.98431073042978,164.98118869085954,69.12948475724734,178.79790505069033,70.80801157329037,181.57551269910567,62.23507526681105,176.69856021936067,52.61112881457498,162.84841667257842,45.480564336303246
labeled-data\rat2downsampled\img2640.png,49.15360641479492,66.67179107666016,61.355932131769286,71.44819189109484,61.08546464771719,60.13404833100782,69.3293635099268,60.24233688689968,81.2939289441139,55.88206909065204,97.03037290762265,46.371897710151096,118.0745366381106,42.83565812539954
labeled-data\rat2downsampled\img2763.png,,,9.44921550485207,64.3945034977885,10.708830460090475,52.193803522634425,19.63623222192063,58.40288757396893,32.726719543524936,60.937442141937794,51.92986629341169,62.03202427737486,65.10322578460898,62.70758766547768
labeled-data\rat2downsampled\img2837.png,,,13.545969791083309,54.219266381666145,10.461966143694937,65.69155886694344,25.04355755318531,62.05288793829895,39.08434755162085,64.65211620703187,52.070101806496325,66.85287621722514,66.72446540473052,67.7520805727327
labeled-data\rat2downsampled\img2869.png,10.717936541116536,70.19294737079264,19.973018760166227,60.232622122000436,22.2987274380162,70.26539639910028,35.91546401507597,61.62513814453118,50.218540624798024,59.42907520396935,64.31548921871756,57.50709851775252,77.18207917308533,56.0888446534592
labeled-data\rat2downsampled\img3189.png,181.13912776370913,146.73647269279246,162.39231591417825,147.89586480573442,168.82453859350784,158.40161841405225,156.94251044360453,161.84377545068364,161.18332810140112,172.43653822703016,166.49184685911018,191.6875226015294,168.73389911307024,214.9176937265874
labeled-data\rat2downsampled\img3800.png,87.84660339355469,148.76751708984375,77.0892680980989,163.9536157451902,83.7985660995881,170.97870866174583,75.34052514351211,174.71042465018144,57.365667359262424,184.4778641763517,35.435396129551975,181.285146815921,20.73303456069064,169.27915708195826
labeled-data\rat2downsampled\img4878.png,15.027535722534083,48.61497030187988,20.747502309792722,63.929161955069134,34.080961246281646,62.45545234554163,29.676710444659506,72.0113300620497,24.857778217838415,86.7168202962548,16.39964830842095,100.56861202831132,5.324653058071831,110.49784869359277
labeled-data\rat2downsampled\img5468.png,166.58197934462902,60.25992710944291,165.3832396205047,71.72779739953566,176.06114843580224,71.6646072623381,165.7830955392327,89.09325574363513,154.50387089702383,95.73324540959146,139.14093865876362,110.55115847823537,137.59682655995675,125.91047202950921
labeled-data\rat2downsampled\img5718.png,151.99858512732467,65.14619105251064,160.86048779535562,73.19133460374707,167.04560900268254,65.84279596026829,180.12827966016195,80.00314303270115,173.8953811820647,95.23780344795024,158.95366136686843,114.9223526117736,149.23715592890156,129.44276127133455
labeled-data\rat2downsampled\img6007.png,181.15031870370004,71.81299302833618,167.01655598286405,78.95609295928628,172.88909067089992,67.13743784978138,152.55681135398802,67.19433359991571,144.83117690907414,71.32402490964915,127.07382895489323,70.05875304812024,112.72408399075587,71.13514398923897
labeled-data\rat2downsampled\img6128.png,118.15604372307506,134.2939747819868,134.91779412374356,135.40300294668734,134.4993514637067,125.38161924569549,149.0333838132554,128.1479869219347,158.1327920007544,119.88767391619568,173.99075002955422,104.23362267369995,167.89487929390617,81.6424259336564
labeled-data\rat2downsampled\img6325.png,12.87010096524714,55.36637224357667,31.587667644075864,52.267433430211966,28.36477157302609,63.72035067411767,45.10108173586946,60.80242632188,61.533138776457335,63.412136790689225,76.9802474975586,64.79435729980469,93.74438524083058,70.29009379465604
