scorer,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne
bodyparts,Head,Head,Sideleft,Sideleft,Sideright,Sideright,Spine1,Spine1,Tailbase,Tailbase,Tailmiddle,Tailmiddle,Tailend,Tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img0222.png,34.27635840520465,200.68593423810074,43.50365260881259,212.95996295877055,48.50115488177913,203.69927847304757,54.032488910699016,212.77174719502577,,,93.41511439477733,217.86145869912696,,
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img0272.png,167.97478215228108,204.72889254706536,151.5847567896887,201.81181284406256,152.7638117584565,209.8820037853663,139.62203801641564,208.31647441090175,123.78256156850782,209.50232713323922,109.49464300214217,207.43213896431726,108.2011666699428,218.9462402303356
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img0963.png,183.41494123638483,156.88555150558975,173.97049221279406,157.0059448313088,178.6318576614583,149.7172517803717,168.12367264550312,149.49708092820222,161.29955332860288,159.18484851080348,164.1569204025211,178.67072856900336,170.35297108953873,198.88123978972772
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img1270.png,150.58983452682202,50.102530734926006,160.2225175355085,55.40249356613573,163.26368297176936,48.59960174560547,169.33356059725602,56.50518105645659,176.32527022105538,68.44455268449912,181.5249203772189,82.63239565798061,178.8547938949315,101.18391418554529
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img1277.png,157.19389305312018,88.62311426838053,164.28540083524248,79.47065601478037,157.0267418614898,75.85356402115498,166.4071090015996,68.67097818489088,179.8497952114109,66.35761946117722,182.3040690188483,83.3238177976183,181.49524133261258,94.49131489345288
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img1297.png,180.21927429786297,146.94280199222518,179.4866406519634,133.08002570640113,170.7937379724773,134.59542963866255,173.56263120419095,119.33261321165685,173.41097252366797,102.64451392796968,183.37976014574264,106.06203524753536,,
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img1458.png,166.38221992004975,188.50327561696866,170.12076437696683,175.69799101944207,174.89511188747667,182.45199156225613,175.22906204665748,170.63178520571066,,,182.73391102706938,187.17826960636097,176.31591621817296,203.3681723298096
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img2194.png,184.59157355991061,220.39264517529813,184.0656069287774,206.24439699018458,176.63148706989764,210.77954759352292,175.3490369719202,200.21892736945864,167.0138243111039,188.00621023979687,143.0844189450234,180.3754413139431,128.65526337510786,179.23652821981062
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img2511.png,158.55041837525388,197.73334536636605,143.27831990719946,192.40649965038813,144.95299811323983,200.1016480995051,129.51941940366206,194.55015604326587,119.39036480320945,195.66984072230673,99.56182306878384,198.421305413073,84.22308244749024,201.93409125995043
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img2568.png,176.30001639296364,220.82282548930078,164.34554071355015,212.65605784771518,159.64249101480218,219.85561858536136,151.4938705307648,209.05851779396204,138.292077820764,203.57540522616242,119.29578028660427,198.190357188376,113.9042656607955,213.7571539331881
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img2857.png,134.44378410840127,196.59766966933498,122.20815667334065,195.30389426627443,123.76220825289633,203.09977912540947,110.0151124472647,201.68283235315715,93.40165146034046,204.35826288562384,71.9096236179329,201.01934049067714,55.531946034251845,191.70094185507614
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img3256.png,,,167.82769090015853,202.39769255814284,176.6015597597623,196.78320307049563,167.07950178953018,191.01737604851,151.17809245697453,183.94331676810367,135.46499388396757,182.88289682020957,122.41229433663526,186.9281613788062
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img3696.png,181.19998471143813,216.3925727473623,180.23891461903577,207.37537006475577,171.80422684593617,209.09269483147688,173.96164476310616,194.78672872291227,167.71497028598694,176.75415083719247,161.20533752441406,158.8636016845703,144.28575543737648,148.22653198242182
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img4092.png,15.077839095722823,52.968618351412516,4.008536396890321,61.19280268586351,12.159799055105282,64.0316306143857,6.735983191400223,72.1807497486379,16.566389797090736,86.59263564301747,22.757360987213445,100.58601550879573,35.0327180012757,105.90947228112611
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img4332.png,48.512242686544255,56.89314811294662,36.63134847240673,54.208888827130515,36.94121548925018,62.28235548030972,26.214975786642157,60.6047164125954,15.444096917653411,57.23380520962092,20.962352581004538,45.43910768876507,,
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img4701.png,163.81138410059958,208.78262477221818,150.55639903872995,201.55778602545513,149.09951190220198,211.61527047920066,140.1814069702685,205.12780610706102,127.3330111691607,205.47048728499246,117.86186318294062,190.13210246614685,133.09696105657403,178.06533241864614
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img4791.png,142.5472421697291,217.80741565495796,139.0510384814533,207.02763800291373,149.89609356654802,207.60762053116716,143.96470601706537,199.3329729092228,136.3338435734814,194.7541732128297,112.46620387581767,202.96361882038912,109.1107745125353,182.7653981410601
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img4810.png,134.38807485896612,221.02510990874558,128.2238227265592,213.97648105390888,135.7840830457629,213.03437034074415,131.28178505539873,207.32436794686444,133.96135694997866,193.4950963420884,,,,
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img4817.png,113.29220701971599,226.05156315881325,107.16404815847079,219.5468479010836,116.55052089179435,219.7712775892766,109.50379055838107,212.2749001757892,,,,,,
labeled-data\rat_training_OS_SERT_5d_t0009downsampled\img4823.png,,,,,,,,,,,,,,
