scorer,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne
bodyparts,Head,Head,Sideleft,Sideleft,Sideright,Sideright,Spine1,Spine1,Tailbase,Tailbase,Tailmiddle,Tailmiddle,Tailend,Tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img0126.png,,,,,,,,,,,,,,
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img0209.png,177.36529541015625,34.18101119995117,173.46949768066406,43.90507125854492,181.90829467773438,43.82415771484375,186.92762351733262,66.25896912609758,188.19842274499513,80.006138284668,,,,
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img0219.png,182.04411653710935,7.17578984759524,178.052419036377,14.534485940673903,184.31285773706054,18.511064340087955,178.74644470214844,25.745895385742188,173.82228932861324,50.93462290283213,,,,
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img0231.png,194.0333871435215,33.636404808663656,181.897837642855,24.2020155684191,180.19275145824489,35.535231407784764,164.7723673595523,29.80232415317927,148.1433614972078,28.013070228371035,164.76499776265072,14.584740147274175,182.4497294365964,7.263851221703817
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img0416.png,106.50843580983995,209.24427395743933,123.84741621594192,212.56050039819166,120.90638890855041,199.01990728093884,133.86460092926893,201.1387862952964,136.77617421398983,176.41095923856136,144.76563538311922,158.60972595214844,121.42241273838962,158.01676737651775
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img1017.png,94.36844463466576,227.77411251482994,89.2767800047607,216.46596273754884,78.01918585768254,222.51859343651407,76.64069188842757,206.9753528187256,78.73015756115706,185.61541922753915,89.64573666528312,158.04453196044926,101.3975533347168,133.21099346826176
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img1091.png,116.10577494653177,232.84201399218773,112.40484451696781,250.09178937634306,106.14408772826937,240.8462857393804,,,76.80382449230768,241.2987756799319,59.267061685302366,218.31494581750525,59.85342305346646,189.7792969331056
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img1203.png,92.30116448327476,237.796899707886,,,109.17530495324559,245.0332694013675,,,,,79.99715583764629,228.56070731018113,86.56332138305652,204.74049220166046
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img1330.png,107.06656196884933,205.80993604401635,119.894779930772,206.37653952136802,118.82936942126462,194.3607940673828,131.14901896296445,201.9914242845175,143.52252604978773,214.49327787684817,150.3110020906982,236.98568731396497,136.37013879348012,250.29246005212758
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img1456.png,,,96.97840492902648,235.36827527283143,88.79975014334978,223.18933871644793,106.3636373126221,218.74768241113293,120.93546819482276,204.00135628515613,137.7500991676025,180.12868756005864,149.88770338430012,164.5738293010239
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img1733.png,66.09086773620419,240.91187385351594,71.44738126629906,230.7961443471077,57.97049917706221,228.13938998575526,65.68951390744445,218.17355403539847,73.52691732521967,209.34788431052255,76.76262020379795,185.37993136869713,56.95279110852556,173.21104342703208
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img2363.png,281.86200288769703,198.2185566154783,273.5389104356409,184.50824289819366,264.16871220967994,191.65994631349514,257.5658432344888,171.8339906791998,246.29824303387892,151.433019718505,237.54435150822587,125.02810827095836,224.1500254611256,105.49292439916965
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img2467.png,203.0560139508521,222.21175229108476,216.8725806840864,234.09464640401163,221.83363319846686,225.01775577023125,229.65468965584384,233.91601996331406,251.1998937187499,245.15381757789152,296.4622169363071,245.7975027048186,304.07854395198393,226.5645009958342
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img2724.png,105.57348391284029,196.7767180815428,82.82214673602283,193.17420627151483,86.94607326333254,207.82852668876748,67.3132348669073,214.14918900618622,75.15423271539142,228.60049563975642,105.7365600296387,246.66813195761327,121.88663428576382,242.47857524076636
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img2754.png,105.49737111820639,183.74443044362656,89.59088292867582,189.59477250677435,95.9441527139638,203.36551903640367,84.60566535266099,203.50831606909188,76.3346972595196,218.03683981274418,93.49493144689922,242.47402991870197,116.40206486752851,243.1137400344765
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img2896.png,49.712626497447445,9.42723944857741,48.7498201988638,24.7580172583464,61.25969105064891,20.018732447177285,56.288669935614024,38.83856348991445,58.619237712025864,57.97302197814045,55.357182919234106,94.60055386275124,59.711534500867685,117.73338214382991
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img3422.png,,,193.76574710254127,4.138183132049676,206.39280874290833,5.832830414644974,193.91533950510032,12.204223786710244,187.2701790838589,22.98146310668767,184.4784450841867,57.80679956926306,196.07637572622477,74.4253462414292
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img3589.png,280.8417053222656,172.92263793945312,285.7873651636742,160.26418136610505,275.87703974299933,160.16794184316174,285.7720696518848,144.87861139827274,284.6854922990752,121.63057530191085,284.40024398817536,93.79228007183025,276.8002808125353,72.23738138936017
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img3984.png,57.351375753830396,65.60337120171717,73.65349787653125,66.01884843241345,70.0406265258789,53.58279037475586,82.7698385137383,59.22230409310062,80.43896464330558,77.19795560288782,68.08128575194539,94.26279173713418,57.70820825357524,108.96481768812441
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img4302.png,96.91934328372474,210.91973969136956,87.72501437465178,219.2654071879066,96.70722514511459,225.9190348738267,86.5211703678892,232.3652041375186,,,,,,
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img4529.png,,,282.60545238183846,218.7851128593769,267.0718679338394,219.81409962487794,279.52627241467496,202.84655588069342,264.8849002298598,187.06697491686978,,,1.278862714767456,94.23681640625
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img5391.png,289.66948122800017,237.68996430828597,289.0819134197792,222.70516153786656,277.40028446640287,230.60523445082043,276.0612958892214,212.00798762190632,263.6581703538139,197.39029723479356,252.93587275461869,200.76181770656166,243.08401845203872,213.42681029428175
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img6599.png,297.99371784657876,225.98877557872814,277.59557947488196,221.94134152863072,273.7881806498455,235.39201064927286,262.76819163617364,228.55010538716544,246.88810782640655,225.66247584501681,225.47009488406655,216.8688872815073,224.25236105458836,192.99326550633197
labeled-data\rat_training_OS_ecm_1_t0013_2018downsampled\img6676.png,,,298.7451503692629,243.7934792202152,283.4282371141358,245.4155275180668,283.22298773547374,223.3458684818116,272.54229137927234,209.7757339041747,259.18984979541,187.42793428295866,246.65938059973143,167.40019228979497
