scorer,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne
bodyparts,Head,Head,Sideleft,Sideleft,Sideright,Sideright,Spine1,Spine1,Tailbase,Tailbase,Tailmiddle,Tailmiddle,Tailend,Tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\trail_1_bluedownsampled\img0137.png,209.87498663623748,172.93811835901207,214.51570020981245,162.18010052936103,202.0701501715887,162.3910420554326,209.45310358409432,147.41419370434977,211.140635792667,135.17958519219758,208.18745442766476,113.87449105896705,199.96073491087276,96.36634439502512
labeled-data\trail_1_bluedownsampled\img0230.png,227.7521271189577,197.84009450313414,228.83199291297558,180.56224179884836,217.67337970812434,181.46212996052992,221.45290998718684,166.70396410895248,225.9523507955946,153.02566405139288,237.29094163278216,139.70731925850595,250.24933116099652,134.66794555308923
labeled-data\trail_1_bluedownsampled\img0958.png,243.0553852263377,144.30507042952323,239.07265439463742,161.23167646424943,249.02948147388815,160.09375336947792,246.04243335011293,176.4513978568184,239.07265439463742,188.39959035191924,220.43916371775393,196.22281162847338,200.8099903329454,198.4986578180164
labeled-data\trail_1_bluedownsampled\img1267.png,244.8141218114197,53.772721811712415,235.6178453720418,53.494046768094904,237.3827873149527,63.61924001953119,229.11542768763317,60.55381453973855,223.82060185890043,64.3623734691779,215.0887838255517,75.41648353267256,219.8054518304593,86.16792153490489
labeled-data\trail_1_bluedownsampled\img1708.png,191.8588531050263,190.0065003221787,204.2811802229486,183.16154456332353,196.16864006430546,175.80955504455318,206.3093152626094,171.24625120531644,213.91482166133736,161.10557600701247,226.33714877925965,145.38752944964142,239.01299277713957,132.2046516918463
labeled-data\trail_1_bluedownsampled\img1715.png,192.35195988611233,185.7630922100945,207.06851800548299,178.95393845337077,194.10916085558944,171.70548445427775,205.3113170360059,167.0928319094004,212.34012091391426,160.064028031492,223.54227709433073,145.34746991212137,235.18373351711648,133.26671324696633
labeled-data\trail_1_bluedownsampled\img1970.png,119.94869140764223,193.2740039134612,133.3018705809814,199.5499981249306,136.10603820738262,188.7339229945259,145.18620004525326,193.541067496928,157.60465667645866,186.9980097019918,173.22787630926547,177.7843160723878,190.45347744287298,169.63887677665093
labeled-data\trail_1_bluedownsampled\img2502.png,245.11977511507575,42.19733459718432,231.25569169510447,43.35267488218193,238.38029011925636,53.17306730466157,228.17478426844423,54.52096430382544,226.24921712678153,64.14880001213882,215.65859784763686,78.01288343211007,201.02428757100049,91.87696685208134
labeled-data\trail_1_bluedownsampled\img2754.png,93.13034235394478,46.56987704809273,110.07744933463445,51.388172170053515,109.08056068871153,40.75469328020901,121.37552065509423,43.24691489501632,141.14714546589886,47.23446947870801,167.06625025989482,52.38506081597644,184.67794967119977,55.874171076706666
labeled-data\trail_1_bluedownsampled\img3164.png,248.23310841994765,178.84444325730598,234.8880924131928,182.59772900920578,244.06279091783676,193.5795650980978,231.4128278281004,193.5795650980978,219.8749494055936,196.6377979329791,203.74972173076483,200.25207310147522,181.6470389695771,203.17129535295288
labeled-data\trail_1_bluedownsampled\img3217.png,229.93655628273396,166.51349745761334,232.07500019382667,181.64710052073104,242.93171543475893,176.8767256421396,244.57667228944564,191.18785027791392,,,218.421858299927,200.8930957205655,193.7475054796264,201.71557414790885
labeled-data\trail_1_bluedownsampled\img3337.png,239.84036640255817,158.77024043663056,235.5054212796191,178.27749348985643,247.1555862975179,178.81936163022382,239.5694323323745,192.63699920959215,,,212.20509124382147,201.71329056074586,191.74956894495267,201.71329056074586
labeled-data\trail_1_bluedownsampled\img3633.png,227.7636640722391,160.22136331653445,210.55548012885768,163.8441388835621,215.8386944974397,173.20297576505024,201.4985412112885,175.01436354856406,195.76247989682804,188.5997719249178,201.19664324736954,201.27948640951465,220.51811293818378,201.5813843734336
labeled-data\trail_1_bluedownsampled\img3790.png,202.94049684340337,141.9890485878586,203.79200392112355,157.4864774023659,216.9052129180143,158.6785873111741,209.07134780298867,170.42938498371257,201.91868835013918,182.009881240707,196.46904305273003,197.3370086396702,219.4597341511748,202.10544827490315
labeled-data\trail_1_bluedownsampled\img3831.png,196.29363356234134,81.52287301620699,184.72087827878073,97.12093448535387,194.02939883294906,98.63042430494873,190.00409264736277,112.9705775910999,194.02939883294906,127.05914924065193,195.03572537934562,147.18568016858342,195.28730701594475,161.0226701815363
labeled-data\trail_1_bluedownsampled\img3902.png,205.66691219739192,58.890008414740535,196.3051724508661,73.25919035126853,205.44919731956577,76.30719864083508,196.08745757304,86.97522765431799,190.86230050521158,98.51411617910561,183.89542441477374,120.06788908389763,182.15370539216428,140.96851735521108
labeled-data\trail_1_bluedownsampled\img4292.png,197.03899447709364,39.91417318774633,210.43668424767728,32.28060576032078,214.48714859692348,43.653063356281294,224.45752237968338,33.05954121209889,234.11632198173203,39.60259900703508,245.95614084875942,50.04033406086186,247.51401175231564,72.9410363431385
labeled-data\trail_1_bluedownsampled\img4644.png,131.4703707808648,158.21037453302955,122.33602212895742,152.04468919299208,117.08377165411072,159.35216811451798,109.54793401628714,144.05213412257314,112.28823861185936,129.89389371211672,115.94197807262229,112.08191384089739,121.6509459800644,96.55352113265488
labeled-data\trail_1_bluedownsampled\img4895.png,87.8929304666577,113.76062133975553,85.62869573726542,129.61026444550157,96.19512447442943,125.64785366906506,95.440379564632,138.6672033630707,110.34659153313126,151.6865530570764,130.34733164276315,158.66794347270263,145.25354361126242,160.17743329229748
labeled-data\trail_1_bluedownsampled\img5353.png,83.54396576033636,170.6696462176037,87.31829693920565,185.63682158208536,96.68905021088112,180.43084754226564,100.98397879373238,195.1377242047563,110.09443336341685,201.64519175453094,126.88369964183539,206.46071774136416,145.49505683419085,205.94012033738218
labeled-data\trail_1_bluedownsampled\img5362.png,86.8095502707009,161.5896190758293,80.15231311761588,176.76192700611605,90.06075911290522,174.90409338199933,89.59630070687602,188.21856768816934,103.83969182510445,197.50773580875313,119.47645816142044,205.8679871172785,142.23492005685063,205.8679871172785
labeled-data\trail_1_bluedownsampled\img5464.png,97.34005798826693,151.13725358221257,80.00608322658596,164.5465548129469,91.78010381942586,168.14417221631464,83.6037006299537,181.71700151083843,92.2706880107942,191.20162921062615,104.69882085879188,206.5732672068338,125.13982883247229,206.5732672068338
labeled-data\trail_1_bluedownsampled\img6057.png,237.3439160168548,161.2650400597492,237.87030221035454,177.71460860661628,246.2924813063505,173.63511560699322,249.31920191897402,185.4788049607375,245.23970891935102,197.19089776610687,226.68459559848492,200.34921492710535,208.65586847111862,201.53358386247976
labeled-data\trail_1_bluedownsampled\img6501.png,227.03977952065728,155.90851867274887,210.9288785615198,158.95168885391928,219.34234906240272,168.43921941874464,207.16966833772108,171.48238959991505,198.04015779420985,180.25388012211212,207.34867834837814,197.43884114519207,230.0829497018277,200.66102133701958
