scorer,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne
bodyparts,Head,Head,Sideleft,Sideleft,Sideright,Sideright,Spine1,Spine1,Tailbase,Tailbase,Tailmiddle,Tailmiddle,Tailend,Tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\trail_1_reddownsampled\img0435.png,,,,,,,,,,,,,,
labeled-data\trail_1_reddownsampled\img0549.png,,,,,,,,,,,,,,
labeled-data\trail_1_reddownsampled\img0669.png,,,,,,,,,,,,,,
labeled-data\trail_1_reddownsampled\img0893.png,,,,,,,,,,,,,,
labeled-data\trail_1_reddownsampled\img1164.png,,,,,,,,,,,,,,
labeled-data\trail_1_reddownsampled\img1333.png,101.69583113052472,187.5160379076138,115.67885587067025,188.6812899692926,113.49400825502252,177.90270839876374,125.14652887181043,180.9614950606706,141.60571424302339,185.03987727654635,161.99762532240226,196.10977186249488,180.93297132468265,197.85764995501307
labeled-data\trail_1_reddownsampled\img1459.png,84.77169837413732,98.47529519733499,83.39574034627583,116.13342322155717,93.48609921725995,113.38150716583424,92.33946752737538,128.74637181028731,91.19283583749083,140.21268870913286,93.02744654130612,167.5025229283853,95.55003625905215,182.63806123486148
labeled-data\trail_1_reddownsampled\img2080.png,222.76670412788798,116.30515671718646,223.27180264444468,95.25938519398892,213.33819848549547,98.45834246551493,213.8432970020522,86.16761189596755,202.22603112124716,75.05544453171925,188.42000500202954,68.15243147211044,177.13947146559565,56.70353176349096
labeled-data\trail_1_reddownsampled\img2898.png,221.9985068304179,178.74049730897752,203.8518105124677,185.35208433954855,207.36861212447354,194.0737523373231,195.55215870813385,192.80770375700098,181.62562432459063,193.22971995044168,159.39943813671357,196.8871936269278,134.92249891715278,194.91778472420452
labeled-data\trail_1_reddownsampled\img3097.png,184.49366619417293,102.90077100458258,189.74591666901966,116.8306526987413,199.56534146982008,113.17691323797835,198.88026532092704,125.96500135064866,200.9354937676062,143.77698122186803,205.2743093772622,164.32926568865958,207.78625525653672,186.4800611695349
labeled-data\trail_1_reddownsampled\img3132.png,157.80423638877275,119.13769501122263,170.85745284155138,122.16054513712928,169.75823461394896,110.06914463350275,181.02522144687367,113.77900615166088,196.96388574710866,119.96210868192445,208.64307941538428,134.3893479192061,210.5667113136885,155.6867010790028
labeled-data\trail_1_reddownsampled\img3162.png,127.61935261214094,96.78555681133363,140.5429077599031,109.40140826510144,144.54305578182948,100.78570483326001,154.85112953063975,109.09370457110711,169.92861053636227,113.86311182801933,187.7754247880338,123.7096300358381,198.09607084532234,136.28948596313865
labeled-data\trail_1_reddownsampled\img3281.png,96.83505042814807,79.73757231316513,107.68983042572188,93.8029210424157,113.0407783118498,84.62986752333924,123.43690563346979,95.17887907027718,137.34937013740245,102.67020611085628,153.2493295704683,114.74805991097361,165.78583604653946,125.75572413386539
labeled-data\trail_1_reddownsampled\img3344.png,96.20348859622469,68.06371991655884,99.90754438430747,85.40543565167364,108.66258533795767,78.83915493643599,112.36664112604045,90.1196884728699,129.03489217241292,100.05329263181915,147.72353728501236,110.9970938238819,164.0550559870137,125.13985228747066
labeled-data\trail_1_reddownsampled\img3472.png,82.14042345413708,55.597811118204106,83.52605769879081,72.05221777346732,92.53268028904014,65.29725083078031,94.09151881427562,74.82348626277481,101.19289431812605,85.3889473782596,114.3564196423366,103.57539683933999,126.13431072189343,117.08533072471398
labeled-data\trail_1_reddownsampled\img3511.png,81.95645534999564,44.65412604074288,81.95645534999564,65.3457480293432,91.3443208818606,59.78966434721903,93.45180089921804,73.20090082131183,100.9237755062126,85.65419183296942,114.52660107279245,100.98131923193262,121.998575679787,112.09348659618094
labeled-data\trail_1_reddownsampled\img3619.png,105.30359408452587,40.72407253325973,89.49265584594893,34.65708460450345,94.82425129849231,48.26184541444175,82.32257920287334,45.32027550959023,81.0356423695008,55.79961829562377,78.64561682180894,75.83906327242478,83.7933641552991,90.73076091573562
labeled-data\trail_1_reddownsampled\img3654.png,101.3833096855162,35.795704386884026,87.24055122192742,33.045723574519556,89.79410483340872,42.67065641779524,80.16917199013304,40.509957208080294,80.16917199013304,51.90273485930457,79.18703598571716,68.59904693437466,78.99060878483398,81.75966939354753
labeled-data\trail_1_reddownsampled\img3919.png,114.73065797061632,35.46202972701923,100.83367541355132,46.288748695895436,107.13579541035986,55.98431792175473,94.85474105760476,56.95387484434066,88.22943541993423,66.164665608907,78.85705183493691,74.08271381002541,81.92731542312569,85.23261841976361
labeled-data\trail_1_reddownsampled\img4339.png,108.32684190294262,136.64711893578112,94.61757795164777,149.62195803254235,104.40990934542981,154.2733154445888,93.88315309711413,161.3727557050808,95.84161937587052,173.61316994730834,87.5181376911558,191.48417474096055,91.43507024866861,204.7038221225663
labeled-data\trail_1_reddownsampled\img4792.png,106.80711464598154,145.53166637497912,86.44351640663933,153.14588136882014,97.24507721185563,156.51030194749407,89.9850117526119,164.8328160105296,100.96364732512681,175.81145158304452,93.34943233128581,196.52919935698398,100.43242302323094,205.38293772191534
labeled-data\trail_1_reddownsampled\img4879.png,102.5685185165082,145.40634001508556,85.47064344455872,156.0250203229279,96.80923428174627,157.64481901395467,92.12981584100221,169.52334274815115,103.10845141351714,176.00253751225833,99.68887639912724,194.18027837822567,100.22880929613618,205.15891395074058
labeled-data\trail_1_reddownsampled\img5586.png,,,251.8073346287227,157.2711622263042,245.8806518434545,167.43118985819268,242.66330976002314,157.440496020169,231.99528074654023,156.08582566925054,210.48988892570958,147.95780356373976,194.74184609628242,146.09513183122687
labeled-data\trail_1_reddownsampled\img5670.png,,,241.81886728818296,170.23218368548604,249.42437368691094,162.62667728675808,241.05831664831018,163.13371104667326,236.74852968903102,157.5563396876061,226.60785449072708,141.07774249036223,226.60785449072705,119.02177393405117
labeled-data\trail_1_reddownsampled\img6258.png,196.29780110891377,185.52749568363626,,,183.96062469876344,181.08611217598215,189.71797369016693,172.3678408461426,193.33687877047768,167.2684745966138,203.20661989859792,154.60230681552616,220.47866687280833,148.02247939677932
labeled-data\trail_1_reddownsampled\img6623.png,,,,,244.8724066148119,184.48354849429143,235.99691992128498,177.8741435097501,228.44331422466638,179.0071843642429,210.1258204103662,183.35050763979862,192.56368716572788,186.56079006086154
labeled-data\trail_1_reddownsampled\img6770.png,253.04920932049367,109.52963749003267,243.13011948673284,119.44872732379352,254.0216691081173,124.11653430438685,245.2695310195048,129.56230911507907,240.9907079539609,137.73097133111742,233.98899748307088,156.5966912110155,226.79279505465615,171.18358802536966
labeled-data\trail_1_reddownsampled\img6897.png,,,,,,,,,,,,,,
labeled-data\trail_1_reddownsampled\img6923.png,,,,,,,,,,,,,,
labeled-data\trail_1_reddownsampled\img6944.png,,,,,,,,,,,,,,
