scorer,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne,sanne
bodyparts,Head,Head,Sideleft,Sideleft,Sideright,Sideright,Spine1,Spine1,Tailbase,Tailbase,Tailmiddle,Tailmiddle,Tailend,Tailend
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\trail_2_whitedownsampled\img01848.png,,,,,,,,,,,,,,
labeled-data\trail_2_whitedownsampled\img02139.png,,,,,,,,,,,,,,
labeled-data\trail_2_whitedownsampled\img03052.png,,,,,,,,,141.85530562252114,59.145073489384856,140.85989384866627,86.51889727039426,145.83695271794073,106.92483863441947
labeled-data\trail_2_whitedownsampled\img03389.png,92.02862390103192,159.2742165120394,114.44454772201561,156.50681850944886,101.71451691009895,155.67659910867167,106.69583331476198,141.5628692954597,106.69583331476198,125.78870068069341,102.54473631087612,108.07735346411371,104.20517511243048,84.83121024235288
labeled-data\trail_2_whitedownsampled\img03465.png,93.35945205377423,170.5928356377677,105.65889121843465,156.35137976289772,95.08568912951604,151.1726685356723,104.79577268056376,140.8152460812214,106.09045048737012,127.22112910975463,105.65889121843465,105.42738602851422,105.44311158396694,82.55474477493519
labeled-data\trail_2_whitedownsampled\img04066.png,118.12093823866762,188.94041346087303,113.54408769592169,181.4510216636524,105.01450259353149,187.27610417260178,105.84665723766712,177.49828710400817,100.22961338975162,169.3847793236858,92.74022159253097,151.9095317968376,85.0427911342764,133.81016828688766
labeled-data\trail_2_whitedownsampled\img04199.png,145.48670753681913,169.90628870392226,126.76322804376751,167.40982477151536,127.59538268790314,177.60371916217682,114.07286972069919,172.61079129736305,95.34939022764756,171.5705979921935,87.651959769393,158.8802396691252,94.51723558351193,137.8683349047006
labeled-data\trail_2_whitedownsampled\img04856.png,211.55830485239716,159.45539399525796,224.25350128386162,165.95781167966658,229.20772428150627,153.8818931229077,239.27098974547204,165.338533804961,245.46376849252786,179.27228598583665,244.84449061782226,197.85062222700415,222.55048712842125,202.495206287296
labeled-data\trail_2_whitedownsampled\img05673.png,126.6016681224736,176.72171264912737,122.34316511219347,161.26492394514767,114.9302154276318,167.1006502925686,109.88310074878129,152.74791792458745,93.47997804251713,147.85852557945103,80.07357967682046,165.99659395657005,83.22802635110205,190.2858333485381
labeled-data\trail_2_whitedownsampled\img06113.png,230.32213707233757,78.92194464731068,239.41778085707583,61.64022145630799,227.41153106122132,59.45726694797082,235.59761046748577,49.08823303336919,227.22961818552656,43.08510813544194,213.22232675702963,31.260771215282205,189.75556579240492,29.805468209724083
labeled-data\trail_2_whitedownsampled\img06780.png,105.56117455058663,75.80338182935068,118.82034736838702,64.3319626499054,107.79586659853052,58.521763325251314,120.90605994646798,51.51972824169381,132.97339700536494,46.30544679649141,155.32031748480378,47.05034414580604,177.0713200847909,55.69115339785572
labeled-data\trail_2_whitedownsampled\img07182.png,249.96004711328789,101.82527886055485,234.855472700547,107.8671086256512,244.78133588606244,115.85095510095708,231.83455781799884,121.67700523158571,228.81364293545064,136.13424074092342,219.5351186533384,156.63330601535745,208.53035729548435,176.05347311745285
labeled-data\trail_2_whitedownsampled\img07879.png,87.19551230324612,74.38960470180919,93.07091113951537,86.3958544976637,,,100.86220090065498,82.05316840129079,108.1425864151625,86.39585449766369,126.91831747889242,77.19957805828578,138.7968412130889,56.38023000802743
labeled-data\trail_2_whitedownsampled\img08013.png,93.69444848485287,30.083988433872932,84.11499386050087,42.696937022603066,96.88760002630355,44.932143101618536,86.6695150936614,56.2678310737684,97.52623033459366,63.612079619104925,114.29027592720968,82.77098886780891,126.58390936179475,91.39249802972572
labeled-data\trail_2_whitedownsampled\img08181.png,232.0362817799541,94.83158029716881,236.7679517913765,83.79101693718334,224.62333209539244,85.36824027432414,232.0362817799541,73.85450991319641,223.2038310919657,64.23344755663763,199.3877587011399,65.81067089377841,177.464354314883,66.91472722977696
labeled-data\trail_2_whitedownsampled\img08699.png,133.6104983536794,186.93221142780436,118.54849929482452,188.33332761932576,124.5032431087904,197.0903038163344,112.41861595691847,197.96600143603524,98.0571749938243,193.93779238541129,82.99517593496944,180.8023280898983,80.19294355192667,156.10765521433393
labeled-data\trail_2_whitedownsampled\img09053.png,144.66951135622276,128.866705242316,136.4195689191293,147.13443492445148,146.83021056593768,145.1701629156197,143.68737535180685,155.38437736154492,156.06228900744702,164.61645580305427,165.09794024807317,180.52705907459162,146.43735616417132,198.0090799531944
labeled-data\trail_2_whitedownsampled\img09109.png,214.57787764367623,118.30352771399421,200.7602400643079,114.35563126274613,200.59574437883924,125.04785081820971,191.219490307125,120.44197162508692,182.33672329181684,125.21234650367838,163.41971946291966,141.16842799413945,151.08254305276938,160.57891887944257
labeled-data\trail_2_whitedownsampled\img09230.png,253.75316280072676,173.04873686938137,238.14736035814605,168.33448404818512,237.4971185897052,179.3885941116798,223.35436012611643,170.44776979561792,215.38889846271587,162.969989458548,213.11305227317285,143.13761552110168,210.02440387307874,120.86683495200214
labeled-data\trail_2_whitedownsampled\img09742.png,196.47579511680772,161.57924617142788,191.01453835924784,172.9836352828029,204.02517945814046,174.75051246907225,193.58454153927602,184.38802439417793,178.64639805536225,175.5536384628311,156.80137102512276,167.2011281277395,132.22571561610334,166.23737693522895
labeled-data\trail_2_whitedownsampled\img10120.png,200.24649294518218,166.8306838440641,192.8006441235268,176.10533763945944,205.34102108631487,181.1998657805921,196.98076977778948,190.0826327959003,177.5170597001288,181.98363934076633,155.96328679533684,188.64571460224752,133.10322462358778,184.98810465476765
labeled-data\trail_2_whitedownsampled\img11359.png,192.10242767222985,170.77931568778843,175.39934224540517,184.8311177135298,191.43960682195902,185.8916310739631,182.6903715983842,197.6898422087837,196.21191694390893,199.67830475959616,218.48269751300847,198.4852272291087,242.7419406329205,192.1221470665088
labeled-data\trail_2_whitedownsampled\img11643.png,203.01493210869967,174.93761179696776,180.64351888496046,181.5174392157146,194.46115646432878,188.62365282796117,185.51259117483312,197.30902502070697,200.251404592826,202.0465007622047,221.1752557844409,202.4412904073295,245.12582758867936,195.99305953695762
labeled-data\trail_2_whitedownsampled\img12129.png,185.5617869962484,167.2097593131183,182.0299678670681,185.0101277241869,193.75560737594665,181.4783085950066,192.76669801977616,193.9103119297212,201.24306392980884,201.6803140139178,223.84670635656266,202.10413230941947,247.72180366982136,198.7135859454064
labeled-data\trail_2_whitedownsampled\img12313.png,211.77633681152088,183.17713176675664,187.4611150834098,180.07570042388534,201.10741299204358,188.51159367649532,192.05123347085936,193.97011283994883,201.603642006903,202.15789158512908,223.43771866071702,202.15789158512908,247.5048258813984,199.67674651083203
labeled-data\trail_2_whitedownsampled\img12429.png,214.56319440390098,195.36892483482686,189.37181832142872,185.20398360856612,200.126031502835,195.9581967899724,,,,,,,,
